b,fire_rate,fire_rate_q950,fire_rate_q975,fire_rate_q990,full_bacc,kind,mean_base_same_folds,mean_full_bacc,mean_length_bacc,mean_n_strata_kept,mean_null_p95,mean_strat_bacc,n,n_rep,param,s,strat_bacc,value,variant,world
,,,,,,calib_b,,,,,,,6,,0.5,,,0.5691671424388816,,
,,,,,,calib_b,,,,,,,6,,0.9,,,0.6734483460380201,,
,,,,,,calib_s,,,,,,,6,,0.0,,,0.5841221087688478,,
,,,,,,calib_s,,,,,,,6,,0.06,,,0.8185851906748646,,
0.9,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,,world,0.5587843088624338,0.6172219367287303,0.6534757204852314,2.25,0.6013640399839544,0.5392118606701941,,12,,0.0,,,tercile,pure_length
0.9,1.0,1.0,1.0,1.0,,world,0.5961463844797178,0.857283307473525,0.6766945893780133,2.4166666666666665,0.5988449022611467,0.7894159226190475,,12,,0.06,,,tercile,genuine_belief
0.9,0.0,0.0,0.0,0.0,,world,0.5587843088624338,0.6172219367287303,0.6534757204852314,2.25,0.6019724375925781,0.49733369157848323,,12,,0.0,,,tercile_resid,pure_length
0.9,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,,world,0.5961463844797178,0.857283307473525,0.6766945893780133,2.4166666666666665,0.5966746219016359,0.7303461199294533,,12,,0.06,,,tercile_resid,genuine_belief
0.9,0.25,0.25,0.25,0.08333333333333333,,world,0.557690446127946,0.6172219367287303,0.6534757204852314,1.0,0.603845384650072,0.5689644961519962,,12,,0.0,,,matched,pure_length
0.9,1.0,1.0,1.0,1.0,,world,0.5672330447330447,0.857283307473525,0.6766945893780133,1.0,0.6071748887686386,0.8026485088985088,,12,,0.06,,,matched,genuine_belief
,,,,,0.6166546187809774,mde,,,,,,,8,,0.0,,0.5521554646164022,0.25,tercile_resid,
,,,,,0.8480185337760067,mde,,,,,,,8,,0.06,,0.7717865410052911,1.0,tercile_resid,
