family,layer,alignment,bin,bin_label,n_traces,n_pos,n_neg,bacc,null_p95,null_p99,null_p995,null_mean,p_value
above_good,35,a,3,"decile 3 [0.3,0.4)",113,82,31,0.7201,0.5847,0.6113,0.6153,0.4985,0.002
above_good,35,a,4,"decile 4 [0.4,0.5)",113,82,31,0.6266,0.5749,0.5993,0.6181,0.4962,0.006
above_good,35,a,5,"decile 5 [0.5,0.6)",113,82,31,0.6246,0.5799,0.6127,0.6155,0.4971,0.006
above_good,35,a,6,"decile 6 [0.6,0.7)",113,82,31,0.6834,0.5856,0.6106,0.6296,0.4973,0.002
above_good,35,a,7,"decile 7 [0.7,0.8)",113,82,31,0.6579,0.5746,0.6071,0.6162,0.4987,0.004
above_good,35,a,8,"decile 8 [0.8,0.9)",113,82,31,0.7387,0.5828,0.6259,0.6322,0.4999,0.002
above_good,35,a,9,"decile 9 [0.9,1.0)",113,82,31,0.7549,0.5863,0.6079,0.6135,0.4991,0.002
above_good,35,b,0,"[-250,-225)",75,65,10,0.4654,0.6376,0.691,0.7007,0.4989,0.6367
above_good,35,b,1,"[-225,-200)",75,65,10,0.5554,0.6311,0.6963,0.718,0.4976,0.1896
above_good,35,b,2,"[-200,-175)",75,65,10,0.4908,0.6262,0.6895,0.7119,0.5023,0.515
above_good,35,b,3,"[-175,-150)",75,65,10,0.5425,0.6474,0.6971,0.7105,0.505,0.2814
above_good,35,b,4,"[-150,-125)",75,65,10,0.4671,0.6405,0.7081,0.7379,0.5007,0.6387
above_good,35,b,5,"[-125,-100)",75,65,10,0.5188,0.6434,0.7036,0.7328,0.5037,0.3852
above_good,35,b,6,"[-100,-75)",75,65,10,0.5704,0.6441,0.6912,0.7033,0.5057,0.1876
above_good,35,b,7,"[-75,-50)",75,65,10,0.565,0.6488,0.6996,0.7195,0.5021,0.2295
above_good,35,b,8,"[-50,-25)",75,65,10,0.6017,0.6164,0.666,0.7025,0.5011,0.0838
above_good,35,b,9,"[-25,+0)",75,65,10,0.6008,0.6335,0.7001,0.7109,0.5022,0.0838
above_good,35,b,10,"[+0,+25)",75,65,10,0.5375,0.6514,0.7233,0.7624,0.501,0.2695
above_good,35,b,11,"[+25,+50)",18,15,3,0.3938,0.7362,0.9201,0.9201,0.4958,0.8922
