arm,trace_i,seed,phat,n_gen,belief_gen_pos,settle_pos,cut_point
below_good,71,6135,-1,346,,0,
below_good,72,6136,-1,365,350,0,
below_good,73,6137,-1,867,860,787,786
below_good,74,6138,-1,411,409,0,
below_good,75,6139,-1,324,,247,
below_good,76,6140,-1,411,409,272,271
below_good,77,6141,-1,358,,0,
below_good,78,6142,-1,453,400,0,
below_good,81,6145,-1,560,,477,
below_good,83,6147,-1,375,367,197,196
below_good,85,6149,-1,373,368,306,305
below_good,86,6150,-1,332,311,0,
below_good,87,6151,-1,370,368,296,295
below_good,88,6152,-1,362,351,0,
below_good,89,6153,-1,373,371,209,208
below_good,90,6154,-1,540,,500,
below_good,91,6155,-1,390,383,0,
below_good,92,6156,-1,275,,0,
below_good,93,6157,-1,397,386,300,299
below_good,94,6158,-1,378,376,129,128
below_good,95,6159,-1,380,365,0,
below_good,96,6160,-1,347,341,273,272
below_good,97,6161,-1,346,340,267,266
below_good,98,6162,-1,446,440,325,324
below_good,99,6163,-1,507,,469,
below_good,100,6164,-1,497,495,450,449
below_good,101,6165,-1,415,399,270,269
below_good,102,6166,-1,449,,433,
below_good,103,6167,-1,465,430,0,
below_good,104,6168,-1,399,397,236,235
below_good,105,6169,-1,400,398,325,324
below_good,106,6170,-1,695,,665,
below_good,107,6171,-1,610,,546,
below_good,108,6172,-1,476,436,0,
below_good,110,6174,-1,720,,610,
below_good,111,6175,-1,485,,436,
below_good,112,6176,1,427,417,241,240
below_good,113,6177,-1,547,,491,
below_good,115,6179,-1,364,347,0,
below_good,116,6180,-1,319,302,0,
below_good,117,6181,-1,410,401,0,
below_good,118,6182,-1,451,426,251,250
below_good,120,6184,-1,615,,572,
below_good,121,6185,-1,515,,448,
below_good,122,6186,-1,537,531,455,454
below_good,123,6187,-1,317,,0,
below_good,124,6188,-1,443,,318,
below_good,125,6189,-1,320,298,0,
below_good,127,6191,-1,524,518,440,439
below_good,128,6192,-1,318,316,0,
below_good,129,6193,-1,539,,446,
below_good,130,6194,-1,452,424,0,
below_good,132,6196,-1,328,322,0,
below_good,133,6197,-1,354,348,0,
below_good,134,6198,-1,402,385,0,
below_good,136,6200,-1,641,637,622,612
below_good,137,6201,-1,327,321,0,
below_good,138,6202,-1,370,,0,
below_good,139,6203,-1,470,306,389,281
below_good,140,6204,-1,499,457,0,
below_good,141,6205,-1,414,412,329,328
below_good,142,6206,-1,375,371,0,
below_good,143,6207,-1,479,477,414,413
below_good,144,6208,-1,915,908,900,883
below_good,145,6209,-1,376,361,0,
below_good,146,6210,-1,407,401,0,
below_good,147,6211,-1,700,,644,
below_good,148,6212,-1,345,343,26,25
below_good,149,6213,-1,370,364,137,136
