n_per_arm,p_a,p_b,pb_rule,alt_world,gap_pred,pred_lo,pred_hi,mean_obs_gap_if_mixture,mean_obs_gap_if_annotation,P_inside_if_mixture,P_outside_if_annotation,distinguishing_power
250,0.4,0.8067,fixed,w11,0.0447,-0.0665,0.1561,0.0458,0.2868,0.9953,0.999,0.9953
250,0.4,0.8067,fixed,w3,0.0447,-0.0649,0.1551,0.0439,0.1202,0.9937,0.228,0.228
250,0.45,0.71,offset,w11,0.0239,-0.0851,0.1327,0.0235,0.2865,0.9927,1.0,0.9927
250,0.45,0.71,offset,w3,0.0239,-0.0844,0.1331,0.0244,0.1192,0.9933,0.383,0.383
250,0.45,0.45,equal,w11,-0.101,-0.2188,0.0151,-0.1014,0.287,0.9973,1.0,0.9973
250,0.45,0.45,equal,w3,-0.101,-0.2194,0.0177,-0.1008,0.119,0.9983,0.9773,0.9773
250,0.45,0.8067,fixed,w11,0.0704,-0.039,0.1789,0.07,0.287,0.992,0.987,0.987
250,0.45,0.8067,fixed,w3,0.0704,-0.0396,0.1799,0.0708,0.1189,0.995,0.1013,0.1013
250,0.5,0.76,offset,w11,0.0736,-0.0342,0.1816,0.0731,0.2875,0.9927,0.989,0.989
250,0.5,0.76,offset,w3,0.0736,-0.0337,0.1816,0.0719,0.1201,0.993,0.1083,0.1083
250,0.5,0.5,equal,w11,-0.0513,-0.1649,0.0644,-0.0522,0.2858,0.9977,1.0,0.9977
250,0.5,0.5,equal,w3,-0.0513,-0.1649,0.065,-0.052,0.1204,0.9977,0.879,0.879
250,0.5,0.8067,fixed,w11,0.096,-0.0122,0.2058,0.0962,0.2863,0.996,0.9593,0.9593
250,0.5,0.8067,fixed,w3,0.096,-0.0122,0.206,0.095,0.1205,0.994,0.0433,0.0433
