family,layer,alignment,bin,bin_label,n_traces,n_pos,n_neg,bacc,null_p95,null_p99,null_p995,null_mean,p_value
control_arm,27,c,2,"[50,75) tokens into the trace",238,113,125,0.5,0.5577,0.5721,0.5773,0.5017,0.5309
control_arm,27,c,3,"[75,100) tokens into the trace",238,113,125,0.5,0.5556,0.5821,0.5879,0.5015,0.5309
control_arm,29,c,0,"[0,25) tokens into the trace",238,113,125,0.5,0.5533,0.577,0.5858,0.5023,0.5469
control_arm,29,c,1,"[25,50) tokens into the trace",238,113,125,0.5,0.5519,0.5794,0.5945,0.501,0.5269
control_arm,29,c,2,"[50,75) tokens into the trace",238,113,125,0.5,0.5558,0.5717,0.5775,0.5022,0.5609
control_arm,29,c,3,"[75,100) tokens into the trace",238,113,125,0.5,0.5579,0.5825,0.5852,0.5015,0.5309
control_arm,31,c,0,"[0,25) tokens into the trace",238,113,125,0.5,0.555,0.5804,0.5838,0.5021,0.5409
control_arm,31,c,1,"[25,50) tokens into the trace",238,113,125,0.5,0.55,0.5769,0.5886,0.5005,0.519
control_arm,31,c,2,"[50,75) tokens into the trace",238,113,125,0.5,0.5552,0.5735,0.5784,0.502,0.5509
control_arm,31,c,3,"[75,100) tokens into the trace",238,113,125,0.5,0.5612,0.5838,0.5871,0.5015,0.5289
control_arm,33,c,0,"[0,25) tokens into the trace",238,113,125,0.5,0.5557,0.5792,0.5815,0.5021,0.5369
control_arm,33,c,1,"[25,50) tokens into the trace",238,113,125,0.5,0.5501,0.5783,0.5872,0.5005,0.511
control_arm,33,c,2,"[50,75) tokens into the trace",238,113,125,0.5,0.5569,0.5712,0.5775,0.5023,0.5529
control_arm,33,c,3,"[75,100) tokens into the trace",238,113,125,0.5,0.5622,0.5816,0.5854,0.5014,0.5329
control_arm,35,c,0,"[0,25) tokens into the trace",238,113,125,0.5,0.5552,0.5758,0.5889,0.5018,0.5329
control_arm,35,c,1,"[25,50) tokens into the trace",238,113,125,0.5,0.5503,0.5818,0.5896,0.5005,0.501
control_arm,35,c,2,"[50,75) tokens into the trace",238,113,125,0.5,0.5569,0.573,0.5777,0.5024,0.5549
control_arm,35,c,3,"[75,100) tokens into the trace",238,113,125,0.5,0.5592,0.5801,0.5879,0.5016,0.523
above_good,21,c,0,"[0,25) tokens into the trace",113,82,31,0.431,0.5822,0.6228,0.6379,0.4985,0.9062
above_good,21,c,1,"[25,50) tokens into the trace",113,82,31,0.5391,0.588,0.6191,0.6238,0.4962,0.2096
above_good,21,c,2,"[50,75) tokens into the trace",113,82,31,0.5662,0.5896,0.6169,0.6264,0.4993,0.0978
above_good,21,c,3,"[75,100) tokens into the trace",113,82,31,0.4872,0.5831,0.6223,0.6345,0.4993,0.5709
above_good,23,c,0,"[0,25) tokens into the trace",113,82,31,0.429,0.5855,0.633,0.6428,0.4991,0.9142
above_good,23,c,1,"[25,50) tokens into the trace",113,82,31,0.5313,0.5882,0.622,0.6277,0.4963,0.2415
above_good,23,c,2,"[50,75) tokens into the trace",113,82,31,0.5678,0.5882,0.6215,0.6353,0.4992,0.0998
above_good,23,c,3,"[75,100) tokens into the trace",113,82,31,0.4882,0.5855,0.6225,0.6314,0.4998,0.5828
above_good,25,c,0,"[0,25) tokens into the trace",113,82,31,0.4272,0.5845,0.6209,0.6409,0.4988,0.9142
above_good,25,c,1,"[25,50) tokens into the trace",113,82,31,0.5399,0.5905,0.6218,0.6247,0.4962,0.1936
above_good,25,c,2,"[50,75) tokens into the trace",113,82,31,0.5676,0.5855,0.6193,0.6298,0.4991,0.0998
above_good,25,c,3,"[75,100) tokens into the trace",113,82,31,0.4834,0.5875,0.624,0.6432,0.4998,0.6108
above_good,27,c,0,"[0,25) tokens into the trace",113,82,31,0.4217,0.5868,0.6298,0.6404,0.4988,0.9341
above_good,27,c,1,"[25,50) tokens into the trace",113,82,31,0.5283,0.5918,0.6252,0.6331,0.4966,0.2615
above_good,27,c,2,"[50,75) tokens into the trace",113,82,31,0.5706,0.5884,0.6255,0.6302,0.499,0.0938
above_good,27,c,3,"[75,100) tokens into the trace",113,82,31,0.4794,0.5866,0.6264,0.6369,0.5001,0.6447
above_good,29,c,0,"[0,25) tokens into the trace",113,82,31,0.4207,0.5832,0.6262,0.636,0.4981,0.9281
above_good,29,c,1,"[25,50) tokens into the trace",113,82,31,0.5357,0.5908,0.6255,0.6394,0.4969,0.2315
above_good,29,c,2,"[50,75) tokens into the trace",113,82,31,0.5608,0.5877,0.6238,0.6287,0.4991,0.1198
above_good,29,c,3,"[75,100) tokens into the trace",113,82,31,0.4827,0.5863,0.6179,0.6322,0.4997,0.6148
above_good,31,c,0,"[0,25) tokens into the trace",113,82,31,0.4264,0.5836,0.6273,0.6373,0.4977,0.9202
above_good,31,c,1,"[25,50) tokens into the trace",113,82,31,0.5528,0.591,0.6261,0.6269,0.4961,0.1457
above_good,31,c,2,"[50,75) tokens into the trace",113,82,31,0.5502,0.5873,0.6224,0.6295,0.4986,0.1557
above_good,31,c,3,"[75,100) tokens into the trace",113,82,31,0.4687,0.5843,0.6148,0.6363,0.4996,0.7206
above_good,33,c,0,"[0,25) tokens into the trace",113,82,31,0.4408,0.5839,0.6159,0.6348,0.4981,0.8762
above_good,33,c,1,"[25,50) tokens into the trace",113,82,31,0.547,0.5894,0.6261,0.6334,0.496,0.1677
above_good,33,c,2,"[50,75) tokens into the trace",113,82,31,0.5522,0.5902,0.6229,0.6327,0.4987,0.1537
above_good,33,c,3,"[75,100) tokens into the trace",113,82,31,0.4651,0.5816,0.6143,0.6332,0.499,0.7505
above_good,35,c,0,"[0,25) tokens into the trace",113,82,31,0.4428,0.5831,0.6178,0.6319,0.4983,0.8583
above_good,35,c,1,"[25,50) tokens into the trace",113,82,31,0.543,0.593,0.6268,0.6381,0.4959,0.1836
above_good,35,c,2,"[50,75) tokens into the trace",113,82,31,0.5512,0.5902,0.6288,0.6302,0.4987,0.1617
above_good,35,c,3,"[75,100) tokens into the trace",113,82,31,0.4752,0.582,0.615,0.6382,0.4989,0.6747
