arm,trace_i,seed,phat,n_gen,belief_gen_pos,flip_pos,flip_pos_strict,flip_to,n_est_post_flip,post_flip_estimates,score_start,score_end,settle_pos,cut_point
above_good,122,7186,1,379,367,,,,0,,0.4605,0.5467,2,1
above_good,123,7187,1,287,285,,,,0,,0.487,0.5838,135,134
above_good,124,7188,1,360,358,,,,0,,0.4893,0.5947,248,247
above_good,126,7190,1,357,350,,,,0,,0.4697,0.6024,246,245
above_good,128,7192,1,347,340,,,,0,,0.4973,0.5856,227,226
above_good,129,7193,1,331,290,,,,0,,0.4749,0.5588,0,
above_good,130,7194,1,388,382,,,,0,,0.4751,0.5724,269,268
above_good,131,7195,-1,376,350,,,,0,,0.4787,0.371,236,235
above_good,132,7196,1,358,353,,,,0,,0.4656,0.5542,233,232
above_good,133,7197,1,402,400,,,,0,,0.4999,0.5613,263,262
above_good,135,7199,1,346,339,,,,0,,0.4431,0.5521,1,0
above_good,136,7200,1,389,382,,,,0,,0.5185,0.5757,272,271
above_good,137,7201,1,506,504,,,,0,,0.5107,0.5832,396,395
above_good,138,7202,1,280,278,,,,0,,0.4722,0.5942,163,162
above_good,140,7204,1,353,351,,,,0,,0.4994,0.5521,0,
above_good,141,7205,1,434,,,,,0,,0.4759,0.6021,232,
above_good,142,7206,1,397,390,,,,0,,0.4597,0.5571,241,240
above_good,144,7208,1,372,366,,,,0,,0.5225,0.5981,259,258
above_good,145,7209,1,319,311,,,,0,,0.5201,0.5918,201,200
above_good,146,7210,-1,357,347,,,,0,,0.5026,0.402,152,151
above_good,148,7212,-1,674,,,,,0,,0.4675,0.3802,396,
above_good,149,7213,1,392,,,,,0,,0.4758,0.583,197,
below_good,0,6064,1,341,338,,,,0,,0.5481,0.6171,220,219
below_good,2,6066,-1,476,428,,,,0,,0.5282,0.4356,310,309
below_good,4,6068,-1,614,558,,,,0,,0.5054,0.4074,434,433
below_good,5,6069,-1,333,326,,,,0,,0.5204,0.4453,62,61
below_good,6,6070,-1,428,423,,,,0,,0.4991,0.4652,0,
below_good,7,6071,-1,401,,,,,0,,0.5312,0.4251,222,
below_good,10,6074,-1,448,446,,,,0,,0.5447,0.4396,316,315
below_good,11,6075,-1,739,,,,,0,,0.5199,0.4186,439,
below_good,12,6076,-1,327,319,,,,0,,0.5381,0.4588,0,
below_good,13,6077,-1,393,,,,,0,,0.4815,0.448,0,
below_good,15,6079,-1,431,,,,,0,,0.5617,0.4623,5,
below_good,16,6080,-1,617,507,,,,0,,0.5197,0.4125,401,400
below_good,18,6082,-1,327,304,,,,0,,0.525,0.4309,155,154
below_good,19,6083,-1,353,347,,,,0,,0.534,0.4444,235,234
below_good,20,6084,-1,372,370,,,,0,,0.5454,0.3941,260,259
below_good,22,6086,-1,409,356,,,,0,,0.5332,0.4271,176,175
below_good,23,6087,-1,449,390,,,,0,,0.4955,0.3946,278,277
below_good,24,6088,-1,268,262,,,,0,,0.5216,0.4143,153,152
below_good,25,6089,-1,634,632,,,,0,,0.5209,0.4555,128,127
below_good,26,6090,-1,450,,,,,0,,0.5361,0.4597,123,
below_good,27,6091,-1,638,,,,,0,,0.5103,0.392,371,
below_good,28,6092,-1,395,365,,,,0,,0.5183,0.4241,256,255
below_good,29,6093,-1,368,359,,,,0,,0.5403,0.4398,186,185
below_good,30,6094,-1,331,323,,,,0,,0.5443,0.4737,0,
below_good,31,6095,-1,427,,,,,0,,0.5491,0.4223,181,
below_good,32,6096,-1,456,442,,,,0,,0.513,0.4038,298,297
below_good,33,6097,-1,515,,,,,0,,0.5372,0.477,263,
below_good,34,6098,-1,526,494,,,,0,,0.4846,0.4106,385,384
below_good,35,6099,-1,396,,,,,0,,0.5366,0.4376,207,
below_good,36,6100,-1,361,359,,,,0,,0.5264,0.4151,248,247
below_good,37,6101,-1,302,300,,,,0,,0.5274,0.413,192,191
below_good,38,6102,-1,428,420,,,,0,,0.5293,0.4226,301,300
below_good,39,6103,-1,362,360,,,,0,,0.4911,0.4453,186,185
below_good,40,6104,-1,446,444,,,,0,,0.5481,0.4585,296,295
below_good,41,6105,-1,527,,,,,0,,0.5065,0.3981,304,
below_good,42,6106,-1,422,417,,,,0,,0.5356,0.4322,308,307
below_good,43,6107,-1,352,343,,,,0,,0.5693,0.4324,211,210
below_good,45,6109,-1,475,473,,,,0,,0.5554,0.4447,360,359
below_good,47,6111,-1,436,430,,,,0,,0.4978,0.4698,0,
below_good,50,6114,-1,332,330,,,,0,,0.5125,0.4114,221,220
below_good,52,6116,-1,413,411,,,,0,,0.5466,0.4119,307,306
below_good,53,6117,-1,445,437,,,,0,,0.4825,0.4278,302,301
below_good,55,6119,-1,349,347,,,,0,,0.5205,0.4059,242,241
below_good,56,6120,1,372,347,,,,0,,0.5612,0.5779,59,58
below_good,57,6121,-1,373,341,,,,0,,0.5117,0.4415,149,148
below_good,59,6123,-1,541,527,,,,0,,0.5154,0.4295,414,413
below_good,61,6125,-1,352,313,,,,0,,0.5481,0.4421,2,1
below_good,62,6126,-1,530,,,,,0,,0.5182,0.4483,291,
below_good,63,6127,-1,522,515,,,,0,,0.5096,0.4508,405,404
below_good,64,6128,-1,484,470,,,,0,,0.4972,0.4283,356,355
below_good,65,6129,-1,437,376,,,,0,,0.5038,0.4255,193,192
below_good,66,6130,-1,454,370,,,,0,,0.5254,0.4285,258,257
below_good,67,6131,-1,582,,,,,0,,0.529,0.4221,338,
below_good,68,6132,-1,641,453,,,,0,,0.4655,0.4695,0,
below_good,69,6133,-1,396,,,,,0,,0.5078,0.4424,167,
below_good,70,6134,1,448,423,,,,0,,0.4873,0.6173,269,268
below_good,71,6135,-1,346,,,,,0,,0.4846,0.4257,182,
below_good,72,6136,-1,365,350,,,,0,,0.5445,0.3891,249,248
below_good,73,6137,-1,867,860,,,,0,,0.5198,0.4264,719,718
below_good,74,6138,-1,411,409,,,,0,,0.478,0.3946,303,302
below_good,75,6139,-1,324,,,,,0,,0.4926,0.4329,128,
below_good,76,6140,-1,411,409,,,,0,,0.5113,0.4429,173,172
below_good,77,6141,-1,358,,,,,0,,0.4908,0.4247,155,
below_good,78,6142,-1,453,400,,,,0,,0.5166,0.4257,290,289
